user_id,challenge_id,p_solve,solved
34,370,0.18465078813995991,0
107,217,0.459976576283215,1
304,221,0.16169188856189023,0
158,32,0.23897328453340544,0
56,66,0.7182970444200006,1
304,295,0.07351316735737704,0
373,351,0.4254686979839653,1
261,126,0.43807235602376415,0
539,345,0.4661624489252994,0
462,116,0.1980225354734662,0
214,165,0.16216240333980303,0
444,91,0.3500893240095133,0
366,286,0.2919209415920297,1
220,126,0.20744086653295218,0
371,373,0.3402175610614767,0
554,247,0.07864992044522984,0
523,159,0.5582416415528705,0
553,117,0.4997113424536411,1
449,42,0.31496620469267983,0
263,153,0.3735633653278789,0
502,214,0.14766906457953677,0
545,142,0.4290350095663662,0
69,280,0.10496168159528473,0
286,197,0.644157350576477,0
60,372,0.22794537026865178,0
399,27,0.051144632433288824,0
73,179,0.33666917892489884,0
581,306,0.13703956971516257,0
125,341,0.10090541203477939,0
506,286,0.2070577608656282,0
59,233,0.47945944438808985,0
593,160,0.40243948021046316,1
192,257,0.6487513207455942,1
48,283,0.4138835527376038,0
514,297,0.3289445324564228,0
560,227,0.33289657387950466,0
203,313,0.25821579007894513,0
478,8,0.0708062754609168,1
428,254,0.22278416348002328,0
102,350,0.07937767325445709,0
465,298,0.3309030392676639,1
399,252,0.03874142410846264,0
66,345,0.5678104536146611,1
164,193,0.13168051691790678,0
270,138,0.18957155225358108,0
199,386,0.4324675343952249,0
304,126,0.32138400602331474,0
65,380,0.1551604352397126,0
232,340,0.1530927559538213,0
480,355,0.3622889617660982,1
61,370,0.4999979543293192,0
103,97,0.24755709790886893,0
114,37,0.3285426641415811,0
232,284,0.2667984466842474,0
27,343,0.059326919914091836,0
249,47,0.11242840483516488,0
184,11,0.3354603758338949,1
469,95,0.0551815446810692,0
381,177,0.36638565324709754,0
321,268,0.12318825471222129,0
62,315,0.4763190920462639,0
204,111,0.6130103859534212,1
224,252,0.18647614394727688,0
374,312,0.48433162219037124,0
201,122,0.04845300902577089,0
423,297,0.25921763130766445,0
379,111,0.17364243189264464,1
288,10,0.3034166424656789,1
581,110,0.2344527949547501,1
155,21,0.28284443878512366,1
495,140,0.5864532291789665,1
348,83,0.692949690367534,1
261,340,0.27005768567753846,0
291,163,0.08610692644342666,0
265,108,0.09119494422311225,0
459,163,0.362672367000488,0
535,295,0.03409876844444709,0
512,344,0.5373050420335582,1
295,119,0.6915937215589365,1
409,209,0.26431360988516006,0
297,102,0.4437503098750662,1
562,186,0.3156564489956756,1
555,78,0.5027917288736572,1
103,379,0.27509991915010196,0
135,284,0.6808995276363674,1
138,163,0.272725277921068,1
193,74,0.35974267613482275,0
100,172,0.0637994488241195,0
78,395,0.25505799279003305,0
221,106,0.47256011725473596,1
387,227,0.5538549012562921,1
424,171,0.8464934665574827,1
314,325,0.4193358904442228,1
521,397,0.2233189061272815,0
475,133,0.4830160060113527,1
19,366,0.08219846397829937,0
482,28,0.40657976338830115,0
268,157,0.5991939434815444,0
557,135,0.3985799821201064,0
128,88,0.5536433599715673,0
372,108,0.06652037661312082,0
112,172,0.48467657717184753,0
341,209,0.2631464010526831,0
468,28,0.2936412679814451,1
502,389,0.16256751514500078,0
80,143,0.5242616207591692,1
210,259,0.06288331951834625,0
533,162,0.3796162582017759,1
338,140,0.13782429450327083,1
297,36,0.47933539925434343,1
359,130,0.39091543693489483,0
428,57,0.14285503198265367,0
85,83,0.3816299352578015,1
458,335,0.2686781815703163,1
296,55,0.2764544026854911,0
565,98,0.47436633932808014,1
571,378,0.0911316445918847,0
347,333,0.39625058962864407,1
412,227,0.38424450482993033,1
587,136,0.08760884549500639,0
256,364,0.2570739203562463,1
583,290,0.6732827377989412,1
145,120,0.23626475173889355,1
242,260,0.4301825269010213,0
538,299,0.19024391292208023,0
439,158,0.16546196551554262,0
480,2,0.2193140231330878,0
7,374,0.10286776143460416,0
75,247,0.3228686992963339,0
272,346,0.06627612488350405,0
138,237,0.481810225145348,1
591,300,0.3808704415701701,0
71,283,0.6130436661775917,1
395,377,0.582018247865582,1
593,317,0.3792305408248161,0
503,61,0.07342981570986709,0
438,258,0.5807462557976375,0
397,102,0.37605614888466204,1
345,95,0.07504762597666904,0
417,260,0.7615040538481953,1
99,283,0.1642178238788629,0
11,135,0.42503862926005553,0
103,390,0.4702229494820451,1
595,166,0.6406058733661063,1
334,390,0.5806429066934725,1
308,357,0.3547981648273113,0
252,133,0.3361458708790045,0
39,148,0.45437266373837937,0
170,171,0.6031798954849795,0
257,184,0.30428210019937957,0
392,231,0.26222226365307905,0
448,387,0.427696471380842,1
553,364,0.4941670375002581,0
153,340,0.19983792535105782,0
